case_id,task_id,event_label,resource,start_time,completion_time
1173,7784,W_Call after offers,User_28,2020-01-12 22:08:33.189317,2020-01-12 22:11:17.042445
1475,7774,W_Handle leads,User_36,2020-01-12 22:10:47.879976,2020-01-12 22:11:25.908100
936,5985,W_Validate application,User_53,2020-01-12 22:09:27.171717,2020-01-12 22:13:18.016372
1430,7788,W_Complete application,User_28,2020-01-12 22:11:17.042445,2020-01-12 22:15:19.456136
727,7787,W_Complete application,User_36,2020-01-12 22:11:25.908100,2020-01-12 22:16:25.624850
621,7789,W_Validate application,User_29,2020-01-12 22:06:05.506652,2020-01-12 22:16:44.613701
1470,7791,W_Handle leads,User_28,2020-01-12 22:15:19.456136,2020-01-12 22:17:19.708910
1436,7790,W_Handle leads,User_36,2020-01-12 22:16:25.624850,2020-01-12 22:17:50.303272
1475,7794,W_Complete application,User_29,2020-01-12 22:16:44.613701,2020-01-12 22:19:48.896610
1173,7793,W_Validate application,User_28,2020-01-12 22:17:19.708910,2020-01-12 22:21:20.223729
1169,5988,W_Call after offers,User_53,2020-01-12 22:13:18.016372,2020-01-12 22:21:22.038668
1468,7792,W_Handle leads,User_36,2020-01-12 22:17:50.303272,2020-01-12 22:22:45.245715
1475,7800,W_Complete application,User_29,2020-01-12 22:19:48.896610,2020-01-12 22:23:24.203004
1475,7804,W_Call after offers,User_29,2020-01-12 22:23:24.203004,2020-01-12 22:24:21.464393
621,7797,W_Call incomplete files,User_28,2020-01-12 22:21:20.223729,2020-01-12 22:25:14.593926
727,7796,W_Complete application,User_36,2020-01-12 22:22:45.245715,2020-01-12 22:28:04.454617
1436,7799,W_Complete application,User_28,2020-01-12 22:25:14.593926,2020-01-12 22:28:38.045687
1468,7803,W_Handle leads,User_28,2020-01-12 22:28:38.045687,2020-01-12 22:31:29.644280
1470,7798,W_Handle leads,User_36,2020-01-12 22:28:04.454617,2020-01-12 22:32:51.304736
1436,7808,W_Complete application,User_29,2020-01-12 22:28:38.045687,2020-01-12 22:33:13.656434
727,7807,W_Call after offers,User_28,2020-01-12 22:31:29.644280,2020-01-12 22:34:05.872506
727,7812,W_Call after offers,User_29,2020-01-12 22:34:05.872506,2020-01-12 22:35:04.797458
1169,7802,W_Validate application,User_36,2020-01-12 22:32:51.304736,2020-01-12 22:37:38.708524
185,5991,W_Validate application,User_53,2020-01-12 22:21:22.038668,2020-01-12 22:37:59.245920
1436,7811,W_Complete application,User_28,2020-01-12 22:34:05.872506,2020-01-12 22:38:31.067214
1436,7815,W_Call after offers,User_28,2020-01-12 22:38:31.067214,2020-01-12 22:40:57.878525
1436,7816,W_Call after offers,User_29,2020-01-12 22:40:57.878525,2020-01-12 22:42:18.485899
621,7806,W_Call incomplete files,User_36,2020-01-12 22:37:38.708524,2020-01-12 22:42:18.816790
1161,5994,W_Call after offers,User_53,2020-01-12 22:37:59.245920,2020-01-12 22:44:16.134527
1470,7810,W_Complete application,User_36,2020-01-12 22:42:18.816790,2020-01-12 22:44:22.090644
1169,7814,W_Validate application,User_36,2020-01-12 22:44:22.090644,2020-01-12 22:44:32.506800
1470,7820,W_Complete application,User_29,2020-01-12 22:44:22.090644,2020-01-12 22:46:56.068298
635,5997,W_Call after offers,User_53,2020-01-12 22:44:16.134527,2020-01-12 22:47:45.405484
1161,7819,W_Validate application,User_28,2020-01-12 22:44:16.134527,2020-01-12 22:48:46.913630
621,7818,W_Call incomplete files,User_36,2020-01-12 22:44:32.506800,2020-01-12 22:49:21.060107
635,7823,W_Call after offers,User_28,2020-01-12 22:48:46.913630,2020-01-12 22:49:44.981256
1470,7822,W_Complete application,User_36,2020-01-12 22:49:21.060107,2020-01-12 22:52:11.330385
635,7826,W_Call after offers,User_36,2020-01-12 22:52:11.330385,2020-01-12 22:54:09.165916
1470,7827,W_Call after offers,User_28,2020-01-12 22:52:11.330385,2020-01-12 22:55:00.559211
637,6000,W_Validate application,User_53,2020-01-12 22:47:45.405484,2020-01-12 22:56:04.661828
637,7830,W_Validate application,User_36,2020-01-12 22:56:04.661828,2020-01-12 22:58:23.572836
1161,7824,W_Validate application,User_29,2020-01-12 22:48:46.913630,2020-01-12 22:58:53.621341
244,6003,W_Call incomplete files,User_53,2020-01-12 22:56:04.661828,2020-01-12 22:59:34.348581
635,7828,W_Validate application,User_29,2020-01-12 22:58:53.621341,2020-01-12 23:01:09.712149
640,6006,W_Call after offers,User_53,2020-01-12 22:59:34.348581,2020-01-12 23:02:35.211731
635,7834,W_Call incomplete files,User_36,2020-01-12 23:01:09.712149,2020-01-12 23:04:49.716652
549,6009,W_Call incomplete files,User_53,2020-01-12 23:02:35.211731,2020-01-12 23:06:15.678307
2,6011,W_Validate application,User_53,2020-01-12 23:06:15.678307,2020-01-12 23:08:16.095337
637,7831,W_Validate application,User_28,2020-01-12 22:58:23.572836,2020-01-12 23:09:23.079688
635,7835,W_Validate application,User_28,2020-01-12 23:09:23.079688,2020-01-12 23:10:42.180758
2,7837,W_Validate application,User_125,2020-01-12 23:08:16.095337,2020-01-12 23:12:11.459670
939,6013,W_Call after offers,User_53,2020-01-12 23:08:16.095337,2020-01-12 23:12:15.729513
939,7840,W_Validate application,User_28,2020-01-12 23:12:15.729513,2020-01-12 23:13:08.766186
635,7839,W_Call incomplete files,User_36,2020-01-12 23:10:42.180758,2020-01-12 23:14:33.887153
635,7843,W_Validate application,User_36,2020-01-12 23:14:33.887153,2020-01-12 23:15:37.609200
220,6015,W_Call incomplete files,User_53,2020-01-12 23:12:15.729513,2020-01-12 23:16:14.417283
635,7844,W_Validate application,User_28,2020-01-12 23:15:37.609200,2020-01-12 23:17:30.769091
544,6017,W_Call incomplete files,User_53,2020-01-12 23:16:14.417283,2020-01-12 23:20:30.496631
544,7848,W_Call incomplete files,User_9,2020-01-12 23:20:30.496631,2020-01-12 23:23:02.583150
544,7849,W_Validate application,User_28,2020-01-12 23:23:02.583150,2020-01-12 23:24:37.010793
1479,7846,W_Complete application,User_36,2020-01-12 23:20:20.018372,2020-01-12 23:27:18.919958
1161,7832,W_Validate application,User_29,2020-01-12 23:01:09.712149,2020-01-12 23:28:58.362043
549,7836,W_Call incomplete files,User_29,2020-01-12 23:28:58.362043,2020-01-12 23:30:02.055087
941,6019,W_Complete application,User_53,2020-01-12 23:20:30.496631,2020-01-12 23:30:28.488701
242,6021,W_Validate application,User_53,2020-01-12 23:30:28.488701,2020-01-12 23:31:49.221101
1161,7852,W_Validate application,User_36,2020-01-12 23:28:58.362043,2020-01-12 23:32:42.767827
941,7854,W_Call after offers,User_28,2020-01-12 23:30:28.488701,2020-01-12 23:32:51.154850
549,7853,W_Call incomplete files,User_9,2020-01-12 23:30:02.055087,2020-01-12 23:33:42.842960
1161,7856,W_Call incomplete files,User_125,2020-01-12 23:32:42.767827,2020-01-12 23:33:44.012946
1161,7859,W_Call incomplete files,User_9,2020-01-12 23:33:44.012946,2020-01-12 23:36:39.302343
549,7858,W_Validate application,User_36,2020-01-12 23:33:42.842960,2020-01-12 23:39:18.799798
1161,7860,W_Call incomplete files,User_28,2020-01-12 23:36:39.302343,2020-01-12 23:40:17.280511
1161,7862,W_Call incomplete files,User_125,2020-01-12 23:40:17.280511,2020-01-12 23:41:17.359450
939,7841,W_Validate application,User_29,2020-01-12 23:30:02.055087,2020-01-12 23:41:44.229287
943,6023,W_Complete application,User_53,2020-01-12 23:31:49.221101,2020-01-12 23:43:44.575308
939,7864,W_Validate application,User_36,2020-01-12 23:41:44.229287,2020-01-12 23:44:34.684282
635,7845,W_Validate application,User_29,2020-01-12 23:41:44.229287,2020-01-12 23:46:08.278511
943,7865,W_Call after offers,User_9,2020-01-12 23:43:44.575308,2020-01-12 23:46:40.975064
275,6025,W_Call incomplete files,User_53,2020-01-12 23:43:44.575308,2020-01-12 23:47:38.445993
275,7868,W_Validate application,User_125,2020-01-12 23:47:38.445993,2020-01-12 23:48:21.625509
635,7866,W_Call incomplete files,User_28,2020-01-12 23:46:08.278511,2020-01-12 23:49:58.731015
544,7850,W_Validate application,User_29,2020-01-12 23:46:08.278511,2020-01-12 23:51:06.822823
242,7855,W_Call incomplete files,User_29,2020-01-12 23:51:06.822823,2020-01-12 23:51:47.598177
544,7871,W_Validate application,User_28,2020-01-12 23:51:06.822823,2020-01-12 23:52:15.517589
544,7873,W_Validate application,User_125,2020-01-12 23:52:15.517589,2020-01-12 23:53:25.828390
635,7870,W_Call incomplete files,User_36,2020-01-12 23:49:58.731015,2020-01-12 23:53:48.919311
549,7861,W_Validate application,User_29,2020-01-12 23:51:47.598177,2020-01-12 23:55:12.559488
943,7867,W_Call after offers,User_29,2020-01-12 23:55:12.559488,2020-01-12 23:56:09.258675
242,7872,W_Call incomplete files,User_29,2020-01-12 23:56:09.258675,2020-01-12 23:56:49.501763
943,7875,W_Call after offers,User_36,2020-01-12 23:56:09.258675,2020-01-12 23:57:54.322172
943,7877,W_Validate application,User_28,2020-01-12 23:57:54.322172,2020-01-12 23:59:19.050369
242,7876,W_Call incomplete files,User_9,2020-01-12 23:56:49.501763,2020-01-12 23:59:31.301423
1172,6027,W_Validate application,User_53,2020-01-12 23:47:38.445993,2020-01-12 23:59:35.254680
242,7879,W_Call incomplete files,User_125,2020-01-12 23:59:31.301423,2020-01-13 00:00:33.431606
663,6029,W_Call after offers,User_53,2020-01-12 23:59:35.254680,2020-01-13 00:03:32.365301
242,7881,W_Call incomplete files,User_36,2020-01-13 00:00:33.431606,2020-01-13 00:03:48.135806
663,7882,W_Call after offers,User_9,2020-01-13 00:03:32.365301,2020-01-13 00:03:49.924109
643,6031,W_Call after offers,User_53,2020-01-13 00:03:32.365301,2020-01-13 00:04:46.455018
943,7878,W_Validate application,User_29,2020-01-12 23:59:19.050369,2020-01-13 00:06:28.049966
663,7884,W_Call after offers,User_29,2020-01-13 00:06:28.049966,2020-01-13 00:07:27.630083
242,7883,W_Call incomplete files,User_28,2020-01-13 00:03:48.135806,2020-01-13 00:07:35.770736
242,7886,W_Validate application,User_36,2020-01-13 00:07:35.770736,2020-01-13 00:07:57.226934
242,7887,W_Validate application,User_28,2020-01-13 00:07:57.226934,2020-01-13 00:08:11.312319
242,7888,W_Validate application,User_29,2020-01-13 00:08:11.312319,2020-01-13 00:11:51.080195
811,6033,W_Complete application,User_53,2020-01-13 00:04:46.455018,2020-01-13 00:12:33.619599
657,6034,W_Call incomplete files,User_53,2020-01-13 00:12:33.619599,2020-01-13 00:16:52.878436
225,6035,W_Call incomplete files,User_53,2020-01-13 00:16:52.878436,2020-01-13 00:20:40.452372
562,6036,W_Validate application,User_53,2020-01-13 00:20:40.452372,2020-01-13 00:23:45.913822
225,7890,W_Call incomplete files,User_36,2020-01-13 00:20:40.452372,2020-01-13 00:24:20.395140
225,7892,W_Validate application,User_28,2020-01-13 00:24:20.395140,2020-01-13 00:25:52.808667
562,7891,W_Call incomplete files,User_9,2020-01-13 00:23:45.913822,2020-01-13 00:26:55.456903
664,6037,W_Validate application,User_53,2020-01-13 00:23:45.913822,2020-01-13 00:28:09.588276
225,7896,W_Call incomplete files,User_9,2020-01-13 00:26:55.456903,2020-01-13 00:29:27.745760
1480,7847,W_Complete application,User_29,2020-01-13 00:24:46.460408,2020-01-13 00:31:42.723085
562,7897,W_Call incomplete files,User_28,2020-01-13 00:26:55.456903,2020-01-13 00:31:43.049348
225,7899,W_Call incomplete files,User_123,2020-01-13 00:29:27.745760,2020-01-13 00:32:43.180652
1482,7894,W_Complete application,User_36,2020-01-13 00:24:46.518656,2020-01-13 00:33:18.856820
1482,7902,W_Complete application,User_9,2020-01-13 00:33:18.856820,2020-01-13 00:37:32.648479
1175,5970,W_Complete application,User_53,2020-01-13 00:28:09.588276,2020-01-13 00:38:59.464222
562,7901,W_Validate application,User_36,2020-01-13 00:33:18.856820,2020-01-13 00:39:00.468253
1482,7903,W_Call after offers,User_28,2020-01-13 00:37:32.648479,2020-01-13 00:40:35.019740
228,6039,W_Call incomplete files,User_53,2020-01-13 00:38:59.464222,2020-01-13 00:42:37.547002
562,7905,W_Validate application,User_123,2020-01-13 00:39:00.468253,2020-01-13 00:43:10.756354
562,7908,W_Call incomplete files,User_9,2020-01-13 00:43:10.756354,2020-01-13 00:46:56.750806
228,7907,W_Call incomplete files,User_36,2020-01-13 00:42:37.547002,2020-01-13 00:47:48.785665
812,6040,W_Call after offers,User_53,2020-01-13 00:42:37.547002,2020-01-13 00:49:33.357860
562,7909,W_Call incomplete files,User_28,2020-01-13 00:46:56.750806,2020-01-13 00:51:37.547558
664,7898,W_Validate application,User_29,2020-01-13 00:31:42.723085,2020-01-13 00:52:21.250125
562,7912,W_Validate application,User_36,2020-01-13 00:51:37.547558,2020-01-13 00:52:43.018525
1175,7904,W_Call after offers,User_29,2020-01-13 00:52:21.250125,2020-01-13 00:53:18.741796
228,7910,W_Call incomplete files,User_29,2020-01-13 00:53:18.741796,2020-01-13 00:53:46.001178
228,7916,W_Call incomplete files,User_125,2020-01-13 00:53:46.001178,2020-01-13 00:54:17.523293
562,7914,W_Call incomplete files,User_29,2020-01-13 00:53:46.001178,2020-01-13 00:54:22.976539
944,6041,W_Call after offers,User_53,2020-01-13 00:49:33.357860,2020-01-13 00:54:45.907068
944,7919,W_Call after offers,User_9,2020-01-13 00:54:45.907068,2020-01-13 00:55:32.247636
664,7913,W_Validate application,User_28,2020-01-13 00:52:21.250125,2020-01-13 00:57:16.863120
944,7920,W_Call after offers,User_28,2020-01-13 00:57:16.863120,2020-01-13 00:58:21.048763
562,7918,W_Call incomplete files,User_36,2020-01-13 00:54:22.976539,2020-01-13 00:58:44.203961
1175,7915,W_Validate application,User_123,2020-01-13 00:53:18.741796,2020-01-13 00:58:44.330556
1175,7923,W_Call incomplete files,User_125,2020-01-13 00:58:44.330556,2020-01-13 00:59:39.944100
562,7922,W_Call incomplete files,User_123,2020-01-13 00:58:44.330556,2020-01-13 01:03:08.628982
945,6042,W_Complete application,User_53,2020-01-13 00:54:45.907068,2020-01-13 01:04:26.678565
562,7925,W_Call incomplete files,User_36,2020-01-13 01:03:08.628982,2020-01-13 01:07:18.241028
562,7927,W_Validate application,User_28,2020-01-13 01:07:18.241028,2020-01-13 01:07:45.755281
528,6043,W_Call incomplete files,User_53,2020-01-13 01:04:26.678565,2020-01-13 01:08:07.947946
664,7921,W_Validate application,User_29,2020-01-13 00:57:16.863120,2020-01-13 01:08:42.682671
945,7926,W_Complete application,User_9,2020-01-13 01:04:26.678565,2020-01-13 01:11:30.136880
562,7928,W_Validate application,User_29,2020-01-13 01:08:42.682671,2020-01-13 01:11:37.887261
528,7929,W_Validate application,User_123,2020-01-13 01:08:07.947946,2020-01-13 01:13:05.224195
562,7931,W_Validate application,User_36,2020-01-13 01:11:37.887261,2020-01-13 01:13:08.268258
813,6044,W_Validate application,User_53,2020-01-13 01:08:07.947946,2020-01-13 01:14:32.185738
528,7932,W_Validate application,User_28,2020-01-13 01:13:05.224195,2020-01-13 01:16:13.259649
946,6045,W_Complete application,User_53,2020-01-13 01:14:32.185738,2020-01-13 01:21:08.302937
1483,7895,W_Handle leads,User_36,2020-01-13 01:19:12.339137,2020-01-13 01:21:15.029171
528,7934,W_Validate application,User_123,2020-01-13 01:16:13.259649,2020-01-13 01:21:31.476487
1484,7935,W_Call after offers,User_9,2020-01-13 01:19:12.792963,2020-01-13 01:22:16.664564
946,7937,W_Call after offers,User_28,2020-01-13 01:21:08.302937,2020-01-13 01:22:59.220500
1176,6038,W_Complete application,User_53,2020-01-13 01:21:08.302937,2020-01-13 01:29:07.827383
946,7940,W_Validate application,User_36,2020-01-13 01:22:59.220500,2020-01-13 01:30:55.480046
1176,7941,W_Complete application,User_9,2020-01-13 01:29:07.827383,2020-01-13 01:34:28.921369
1177,6046,W_Complete application,User_53,2020-01-13 01:29:07.827383,2020-01-13 01:35:01.043959
813,7933,W_Validate application,User_29,2020-01-13 01:14:32.185738,2020-01-13 01:35:59.217415
813,7945,W_Validate application,User_36,2020-01-13 01:35:59.217415,2020-01-13 01:39:20.641745
1483,7938,W_Complete application,User_29,2020-01-13 01:35:59.217415,2020-01-13 01:42:07.981428
815,6048,W_Call after offers,User_53,2020-01-13 01:35:01.043959,2020-01-13 01:43:53.311230
1176,7943,W_Call after offers,User_29,2020-01-13 01:42:07.981428,2020-01-13 01:44:06.747011
946,7942,W_Validate application,User_28,2020-01-13 01:30:55.480046,2020-01-13 01:45:05.732375
1483,7947,W_Call after offers,User_29,2020-01-13 01:44:06.747011,2020-01-13 01:45:08.033843
1483,7950,W_Call after offers,User_9,2020-01-13 01:45:08.033843,2020-01-13 01:45:56.139210
946,7949,W_Validate application,User_36,2020-01-13 01:45:05.732375,2020-01-13 01:46:24.418841
813,7946,W_Validate application,User_28,2020-01-13 01:45:05.732375,2020-01-13 01:47:27.618773
1483,7951,W_Validate application,User_28,2020-01-13 01:47:27.618773,2020-01-13 01:48:43.456472
813,7953,W_Call incomplete files,User_123,2020-01-13 01:47:27.618773,2020-01-13 01:51:28.309339
816,6049,W_Call after offers,User_53,2020-01-13 01:43:53.311230,2020-01-13 01:51:59.201570
1483,7954,W_Validate application,User_125,2020-01-13 01:48:43.456472,2020-01-13 01:56:27.751999
816,7956,W_Validate application,User_36,2020-01-13 01:51:59.201570,2020-01-13 01:57:46.478255
1178,6047,W_Complete application,User_53,2020-01-13 01:51:59.201570,2020-01-13 01:59:22.999813
1483,7957,W_Validate application,User_28,2020-01-13 01:56:27.751999,2020-01-13 02:02:35.126908
946,7952,W_Validate application,User_29,2020-01-13 01:46:24.418841,2020-01-13 02:08:45.586966
816,7958,W_Call incomplete files,User_29,2020-01-13 02:08:45.586966,2020-01-13 02:09:22.173596
1179,6050,W_Complete application,User_53,2020-01-13 01:59:22.999813,2020-01-13 02:10:04.417001
1483,7960,W_Validate application,User_36,2020-01-13 02:02:35.126908,2020-01-13 02:10:21.241802
1483,7963,W_Call incomplete files,User_29,2020-01-13 02:10:21.241802,2020-01-13 02:10:52.898338
816,7961,W_Call incomplete files,User_9,2020-01-13 02:09:22.173596,2020-01-13 02:11:43.985568
816,7965,W_Validate application,User_125,2020-01-13 02:11:43.985568,2020-01-13 02:12:36.269569
1179,7962,W_Call after offers,User_28,2020-01-13 02:10:04.417001,2020-01-13 02:13:09.000083
1179,7967,W_Call after offers,User_36,2020-01-13 02:13:09.000083,2020-01-13 02:14:55.313237
1483,7964,W_Call incomplete files,User_123,2020-01-13 02:10:52.898338,2020-01-13 02:14:58.848872
1179,7968,W_Call after offers,User_9,2020-01-13 02:14:55.313237,2020-01-13 02:15:52.342270
1179,7970,W_Call after offers,User_29,2020-01-13 02:15:52.342270,2020-01-13 02:16:44.390598
1180,6051,W_Call after offers,User_53,2020-01-13 02:10:04.417001,2020-01-13 02:17:10.004921
1483,7969,W_Call incomplete files,User_28,2020-01-13 02:14:58.848872,2020-01-13 02:19:18.262247
1179,7971,W_Validate application,User_123,2020-01-13 02:16:44.390598,2020-01-13 02:22:16.500937
1180,7972,W_Validate application,User_125,2020-01-13 02:17:10.004921,2020-01-13 02:22:48.073185
817,6053,W_Call after offers,User_53,2020-01-13 02:17:10.004921,2020-01-13 02:24:40.018026
817,7975,W_Call after offers,User_9,2020-01-13 02:24:40.018026,2020-01-13 02:25:24.100282
1180,7974,W_Validate application,User_36,2020-01-13 02:22:48.073185,2020-01-13 02:25:35.571507
817,7976,W_Validate application,User_28,2020-01-13 02:25:24.100282,2020-01-13 02:27:52.600680
1181,6052,W_Complete application,User_53,2020-01-13 02:24:40.018026,2020-01-13 02:36:12.599882
1182,6054,W_Complete application,User_53,2020-01-13 02:36:12.599882,2020-01-13 02:44:57.144449
1181,7977,W_Complete application,User_29,2020-01-13 02:36:12.599882,2020-01-13 02:47:38.085242
1183,6055,W_Call after offers,User_53,2020-01-13 02:44:57.144449,2020-01-13 02:54:25.147595
1181,7979,W_Call after offers,User_36,2020-01-13 02:47:38.085242,2020-01-13 02:55:18.353110
1183,7980,W_Call after offers,User_9,2020-01-13 02:54:25.147595,2020-01-13 02:55:22.081063
1181,7981,W_Validate application,User_28,2020-01-13 02:55:18.353110,2020-01-13 02:58:32.529482
1183,7982,W_Validate application,User_29,2020-01-13 02:55:22.081063,2020-01-13 02:59:41.899031
1183,7984,W_Validate application,User_36,2020-01-13 02:59:41.899031,2020-01-13 03:00:44.380740
1185,6057,W_Complete application,User_53,2020-01-13 02:54:25.147595,2020-01-13 03:05:25.789282
1183,7985,W_Validate application,User_28,2020-01-13 03:00:44.380740,2020-01-13 03:05:44.107218
1185,7986,W_Call after offers,User_29,2020-01-13 03:05:25.789282,2020-01-13 03:06:34.424555
1183,7987,W_Call incomplete files,User_123,2020-01-13 03:05:44.107218,2020-01-13 03:09:40.355329
1183,7988,W_Call incomplete files,User_125,2020-01-13 03:09:40.355329,2020-01-13 03:10:50.179880
818,6059,W_Call after offers,User_53,2020-01-13 03:05:25.789282,2020-01-13 03:12:57.662140
661,6060,W_Call after offers,User_53,2020-01-13 03:12:57.662140,2020-01-13 03:16:25.457752
661,7991,W_Validate application,User_28,2020-01-13 03:16:25.457752,2020-01-13 03:18:43.888348
233,6061,W_Call incomplete files,User_53,2020-01-13 03:16:25.457752,2020-01-13 03:20:33.463216
818,7990,W_Validate application,User_36,2020-01-13 03:12:57.662140,2020-01-13 03:20:39.380342
818,7993,W_Validate application,User_123,2020-01-13 03:20:39.380342,2020-01-13 03:21:29.963846
630,6062,W_Call after offers,User_53,2020-01-13 03:20:33.463216,2020-01-13 03:22:37.245566
818,7994,W_Validate application,User_125,2020-01-13 03:21:29.963846,2020-01-13 03:24:00.330705
233,7992,W_Validate application,User_29,2020-01-13 03:20:33.463216,2020-01-13 03:24:05.458758
233,7997,W_Validate application,User_28,2020-01-13 03:24:05.458758,2020-01-13 03:25:02.235080
667,6063,W_Validate application,User_53,2020-01-13 03:22:37.245566,2020-01-13 03:25:32.239536
233,7998,W_Call incomplete files,User_29,2020-01-13 03:25:02.235080,2020-01-13 03:25:44.802926
376,6064,W_Call incomplete files,User_53,2020-01-13 03:25:32.239536,2020-01-13 03:29:46.199539
233,7999,W_Call incomplete files,User_123,2020-01-13 03:25:44.802926,2020-01-13 03:29:55.735768
376,8000,W_Call incomplete files,User_125,2020-01-13 03:29:46.199539,2020-01-13 03:30:49.218243
818,7996,W_Call incomplete files,User_36,2020-01-13 03:24:00.330705,2020-01-13 03:31:46.044992
676,6065,W_Call after offers,User_53,2020-01-13 03:29:46.199539,2020-01-13 03:34:46.241807
376,8002,W_Call incomplete files,User_36,2020-01-13 03:31:46.044992,2020-01-13 03:35:22.629248
818,8003,W_Call incomplete files,User_9,2020-01-13 03:31:46.044992,2020-01-13 03:36:08.136565
376,8005,W_Call incomplete files,User_29,2020-01-13 03:35:22.629248,2020-01-13 03:36:24.998931
376,8007,W_Validate application,User_125,2020-01-13 03:36:24.998931,2020-01-13 03:37:37.544159
671,6066,W_Validate application,User_53,2020-01-13 03:34:46.241807,2020-01-13 03:38:13.698787
818,8006,W_Call incomplete files,User_123,2020-01-13 03:36:08.136565,2020-01-13 03:38:39.737596
671,8009,W_Validate application,User_36,2020-01-13 03:38:13.698787,2020-01-13 03:40:09.700230
676,8004,W_Validate application,User_28,2020-01-13 03:34:46.241807,2020-01-13 03:41:08.824540
818,8010,W_Call incomplete files,User_9,2020-01-13 03:38:39.737596,2020-01-13 03:42:26.198653
542,6067,W_Call incomplete files,User_53,2020-01-13 03:38:13.698787,2020-01-13 03:43:46.070212
818,8013,W_Validate application,User_123,2020-01-13 03:42:26.198653,2020-01-13 03:44:11.022726
671,8011,W_Call incomplete files,User_28,2020-01-13 03:41:08.824540,2020-01-13 03:45:19.520467
542,8014,W_Validate application,User_125,2020-01-13 03:43:46.070212,2020-01-13 03:47:49.161582
647,6068,W_Validate application,User_53,2020-01-13 03:43:46.070212,2020-01-13 03:49:05.959853
676,8012,W_Validate application,User_29,2020-01-13 03:41:08.824540,2020-01-13 03:50:09.851546
676,8017,W_Validate application,User_28,2020-01-13 03:50:09.851546,2020-01-13 03:51:45.509575
647,8016,W_Call incomplete files,User_36,2020-01-13 03:49:05.959853,2020-01-13 03:54:14.368453
546,6069,W_Validate application,User_53,2020-01-13 03:49:05.959853,2020-01-13 03:55:55.238258
647,8019,W_Call incomplete files,User_123,2020-01-13 03:54:14.368453,2020-01-13 03:58:27.671946
647,8020,W_Call incomplete files,User_125,2020-01-13 03:58:27.671946,2020-01-13 03:59:34.003655
948,6070,W_Complete application,User_53,2020-01-13 03:55:55.238258,2020-01-13 04:02:57.120582
676,8018,W_Validate application,User_29,2020-01-13 03:51:45.509575,2020-01-13 04:09:02.546417
949,6071,W_Call after offers,User_53,2020-01-13 04:02:57.120582,2020-01-13 04:09:24.719820
676,8023,W_Validate application,User_28,2020-01-13 04:09:02.546417,2020-01-13 04:11:52.419199
948,8022,W_Call after offers,User_36,2020-01-13 04:02:57.120582,2020-01-13 04:13:04.373057
651,6072,W_Validate application,User_53,2020-01-13 04:09:24.719820,2020-01-13 04:15:28.569109
651,8026,W_Call incomplete files,User_125,2020-01-13 04:15:28.569109,2020-01-13 04:16:54.442087
948,8025,W_Validate application,User_123,2020-01-13 04:13:04.373057,2020-01-13 04:18:19.380057
950,6073,W_Call after offers,User_53,2020-01-13 04:15:28.569109,2020-01-13 04:21:43.393626
948,8028,W_Validate application,User_36,2020-01-13 04:18:19.380057,2020-01-13 04:21:47.083031
950,8029,W_Call after offers,User_9,2020-01-13 04:21:43.393626,2020-01-13 04:22:42.342466
676,8024,W_Validate application,User_29,2020-01-13 04:11:52.419199,2020-01-13 04:24:48.133962
948,8030,W_Call incomplete files,User_28,2020-01-13 04:21:47.083031,2020-01-13 04:25:57.046170
950,8031,W_Validate application,User_29,2020-01-13 04:24:48.133962,2020-01-13 04:29:41.495448
948,8032,W_Call incomplete files,User_123,2020-01-13 04:25:57.046170,2020-01-13 04:31:16.495862
1186,6058,W_Complete application,User_53,2020-01-13 04:21:43.393626,2020-01-13 04:32:29.169236
950,8033,W_Validate application,User_125,2020-01-13 04:29:41.495448,2020-01-13 04:33:48.634952
1186,8035,W_Complete application,User_36,2020-01-13 04:32:29.169236,2020-01-13 04:40:15.459638
1187,6074,W_Complete application,User_53,2020-01-13 04:32:29.169236,2020-01-13 04:41:38.717608
1486,7983,W_Complete application,User_9,2020-01-13 04:39:51.865607,2020-01-13 04:44:21.649652
1186,8037,W_Complete application,User_28,2020-01-13 04:40:15.459638,2020-01-13 04:45:02.086501
1189,6076,W_Complete application,User_53,2020-01-13 04:41:38.717608,2020-01-13 04:51:06.079411
1187,8038,W_Complete application,User_29,2020-01-13 04:41:38.717608,2020-01-13 04:54:03.374318
1186,8040,W_Call after offers,User_36,2020-01-13 04:45:02.086501,2020-01-13 04:54:30.678897
1189,8042,W_Call after offers,User_28,2020-01-13 04:51:06.079411,2020-01-13 04:54:57.257677
1189,8045,W_Call after offers,User_36,2020-01-13 04:54:57.257677,2020-01-13 04:56:43.398069
1487,8036,W_Complete application,User_9,2020-01-13 04:46:02.745611,2020-01-13 04:58:04.875285
1190,6077,W_Complete application,User_53,2020-01-13 04:51:06.079411,2020-01-13 04:58:21.383636
1189,8046,W_Validate application,User_28,2020-01-13 04:56:43.398069,2020-01-13 05:01:23.947604
1191,6078,W_Complete application,User_53,2020-01-13 04:58:21.383636,2020-01-13 05:02:38.662029
1189,8049,W_Validate application,User_36,2020-01-13 05:01:23.947604,2020-01-13 05:04:14.889098
1191,8050,W_Complete application,User_9,2020-01-13 05:02:38.662029,2020-01-13 05:05:56.335819
1187,8043,W_Complete application,User_29,2020-01-13 04:54:03.374318,2020-01-13 05:06:38.593913
1193,6080,W_Complete application,User_53,2020-01-13 05:02:38.662029,2020-01-13 05:06:51.518238
